Estado,Dimension,Edades,Estimador,Poblacion Total,Hombres,Mujeres
02 Baja California,Total,17,Valor,3315766,1650341,1665425
02 Baja California,Total,1,Valor,280637,142279,138358
02 Baja California,Total,2,Valor,300330,152154,148176
02 Baja California,Total,3,Valor,306547,154548,151999
02 Baja California,Total,4,Valor,297964,151811,146153
02 Baja California,Total,5,Valor,303190,151887,151303
02 Baja California,Total,6,Valor,278003,135511,142492
02 Baja California,Total,7,Valor,260846,129848,130998
02 Baja California,Total,8,Valor,254074,124218,129856
02 Baja California,Total,9,Valor,251522,126874,124648
02 Baja California,Total,10,Valor,198962,100569,98393
02 Baja California,Total,11,Valor,174381,87536,86845
02 Baja California,Total,12,Valor,127019,61735,65284
02 Baja California,Total,13,Valor,100896,47479,53417
02 Baja California,Total,14,Valor,69522,31300,38222
02 Baja California,Total,15,Valor,46249,22559,23690
02 Baja California,Total,16,Valor,63970,29088,34882
02 Baja California,Total,0,Valor,1654,945,709
02 Baja California,Rosarito,17,Valor,294901,152094,142807
02 Baja California,Rosarito,1,Valor,29437,14890,14547
02 Baja California,Rosarito,2,Valor,32100,17385,14715
02 Baja California,Rosarito,3,Valor,30855,16252,14603
02 Baja California,Rosarito,4,Valor,26215,13218,12997
02 Baja California,Rosarito,5,Valor,23544,11851,11693
02 Baja California,Rosarito,6,Valor,26075,12591,13484
02 Baja California,Rosarito,7,Valor,22806,10677,12129
02 Baja California,Rosarito,8,Valor,22528,12221,10307
02 Baja California,Rosarito,9,Valor,19450,10028,9422
02 Baja California,Rosarito,10,Valor,15618,8307,7311
02 Baja California,Rosarito,11,Valor,13364,7147,6217
02 Baja California,Rosarito,12,Valor,9101,4869,4232
02 Baja California,Rosarito,13,Valor,6796,3641,3155
02 Baja California,Rosarito,14,Valor,6337,3214,3123
02 Baja California,Rosarito,15,Valor,4288,2304,1984
02 Baja California,Rosarito,16,Valor,6368,3486,2882
02 Baja California,Rosarito,0,Valor,19,13,6
02 Baja California,Tecate,17,Valor,269779,133969,135810
02 Baja California,Tecate,1,Valor,27368,12890,14478
02 Baja California,Tecate,2,Valor,26694,13391,13303
02 Baja California,Tecate,3,Valor,27089,13570,13519
02 Baja California,Tecate,4,Valor,25787,12811,12976
02 Baja California,Tecate,5,Valor,25682,13151,12531
02 Baja California,Tecate,6,Valor,22754,10297,12457
02 Baja California,Tecate,7,Valor,23029,11935,11094
02 Baja California,Tecate,8,Valor,19274,9104,10170
02 Baja California,Tecate,9,Valor,18790,10108,8682
02 Baja California,Tecate,10,Valor,14381,7483,6898
02 Baja California,Tecate,11,Valor,11368,5659,5709
02 Baja California,Tecate,12,Valor,8487,4172,4315
02 Baja California,Tecate,13,Valor,7103,3659,3444
02 Baja California,Tecate,14,Valor,4498,2090,2408
02 Baja California,Tecate,15,Valor,2686,1377,1309
02 Baja California,Tecate,16,Valor,4701,2184,2517
02 Baja California,Tecate,0,Valor,88,88,0
02 Baja California,Ensenada,17,Valor,307293,153253,154040
02 Baja California,Ensenada,1,Valor,30743,16902,13841
02 Baja California,Ensenada,2,Valor,33355,16259,17096
02 Baja California,Ensenada,3,Valor,32468,15701,16767
02 Baja California,Ensenada,4,Valor,28063,15165,12898
02 Baja California,Ensenada,5,Valor,27677,13082,14595
02 Baja California,Ensenada,6,Valor,25660,12165,13495
02 Baja California,Ensenada,7,Valor,24406,12297,12109
02 Baja California,Ensenada,8,Valor,27375,13746,13629
02 Baja California,Ensenada,9,Valor,23419,11303,12116
02 Baja California,Ensenada,10,Valor,15801,7877,7924
02 Baja California,Ensenada,11,Valor,14409,7896,6513
02 Baja California,Ensenada,12,Valor,9491,4311,5180
02 Baja California,Ensenada,13,Valor,5144,2693,2451
02 Baja California,Ensenada,14,Valor,4218,1468,2750
02 Baja California,Ensenada,15,Valor,2294,934,1360
02 Baja California,Ensenada,16,Valor,2726,1410,1316
02 Baja California,Ensenada,0,Valor,44,44,0
02 Baja California,Mexicali,17,Valor,138720,68197,70523
02 Baja California,Mexicali,1,Valor,11491,5657,5834
02 Baja California,Mexicali,2,Valor,12478,6248,6230
02 Baja California,Mexicali,3,Valor,12524,6155,6369
02 Baja California,Mexicali,4,Valor,13433,6990,6443
02 Baja California,Mexicali,5,Valor,12843,6299,6544
02 Baja California,Mexicali,6,Valor,11369,5414,5955
02 Baja California,Mexicali,7,Valor,10014,4572,5442
02 Baja California,Mexicali,8,Valor,9772,4920,4852
02 Baja California,Mexicali,9,Valor,9794,4723,5071
02 Baja California,Mexicali,10,Valor,8899,4470,4429
02 Baja California,Mexicali,11,Valor,7436,3596,3840
02 Baja California,Mexicali,12,Valor,5380,2617,2763
02 Baja California,Mexicali,13,Valor,4433,2277,2156
02 Baja California,Mexicali,14,Valor,3467,1698,1769
02 Baja California,Mexicali,15,Valor,2329,1124,1205
02 Baja California,Mexicali,16,Valor,3007,1410,1597
02 Baja California,Mexicali,0,Valor,51,27,24
02 Baja California,Tijuana,17,Valor,2305073,1142828,1162245
02 Baja California,Tijuana,1,Valor,181598,91940,89658
02 Baja California,Tijuana,2,Valor,195703,98871,96832
02 Baja California,Tijuana,3,Valor,203611,102870,100741
02 Baja California,Tijuana,4,Valor,204466,103627,100839
02 Baja California,Tijuana,5,Valor,213444,107504,105940
02 Baja California,Tijuana,6,Valor,192145,95044,97101
02 Baja California,Tijuana,7,Valor,180591,90367,90224
02 Baja California,Tijuana,8,Valor,175125,84227,90898
02 Baja California,Tijuana,9,Valor,180069,90712,89357
02 Baja California,Tijuana,10,Valor,144263,72432,71831
02 Baja California,Tijuana,11,Valor,127804,63238,64566
02 Baja California,Tijuana,12,Valor,94560,45766,48794
02 Baja California,Tijuana,13,Valor,77420,35209,42211
02 Baja California,Tijuana,14,Valor,51002,22830,28172
02 Baja California,Tijuana,15,Valor,34652,16820,17832
02 Baja California,Tijuana,16,Valor,47168,20598,26570
02 Baja California,Tijuana,0,Valor,1452,773,679
