Estado,Dimension,Edades,Estimador,Poblacion Total,Hombres,Mujeres
02 Baja California,Total,Total,Valor,3315766,1650341,1665425
02 Baja California,Total,00-04 años,Valor,280637,142279,138358
02 Baja California,Total,05-09 años,Valor,300330,152154,148176
02 Baja California,Total,10-14 años,Valor,306547,154548,151999
02 Baja California,Total,15-19 años,Valor,297964,151811,146153
02 Baja California,Total,20-24 años,Valor,303190,151887,151303
02 Baja California,Total,25-29 años,Valor,278003,135511,142492
02 Baja California,Total,30-34 años,Valor,260846,129848,130998
02 Baja California,Total,35-39 años,Valor,254074,124218,129856
02 Baja California,Total,40-44 años,Valor,251522,126874,124648
02 Baja California,Total,45-49 años,Valor,198962,100569,98393
02 Baja California,Total,50-54 años,Valor,174381,87536,86845
02 Baja California,Total,55-59 años,Valor,127019,61735,65284
02 Baja California,Total,60-64 años,Valor,100896,47479,53417
02 Baja California,Total,65-69 años,Valor,69522,31300,38222
02 Baja California,Total,70-74 años,Valor,46249,22559,23690
02 Baja California,Total,75 años y más,Valor,63970,29088,34882
02 Baja California,Total,No especificado,Valor,1654,945,709
02 Baja California,Menos de 2 500 habitantes,Total,Valor,294901,152094,142807
02 Baja California,Menos de 2 500 habitantes,00-04 años,Valor,29437,14890,14547
02 Baja California,Menos de 2 500 habitantes,05-09 años,Valor,32100,17385,14715
02 Baja California,Menos de 2 500 habitantes,10-14 años,Valor,30855,16252,14603
02 Baja California,Menos de 2 500 habitantes,15-19 años,Valor,26215,13218,12997
02 Baja California,Menos de 2 500 habitantes,20-24 años,Valor,23544,11851,11693
02 Baja California,Menos de 2 500 habitantes,25-29 años,Valor,26075,12591,13484
02 Baja California,Menos de 2 500 habitantes,30-34 años,Valor,22806,10677,12129
02 Baja California,Menos de 2 500 habitantes,35-39 años,Valor,22528,12221,10307
02 Baja California,Menos de 2 500 habitantes,40-44 años,Valor,19450,10028,9422
02 Baja California,Menos de 2 500 habitantes,45-49 años,Valor,15618,8307,7311
